StepID,ParentID,Başlık,Açıklama,Seçenekler,Kaynak/Link,GörünürEğer,Seçenek Info,Seçenek Pros,Seçenek Cons,Terimler
,,,,,,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
11,0,Paketleme Modeli,Hizmeti nasıl paketleyeceksin?,"[Proje Bazlı, Saatlik, Ürünleştirilmiş Paket]",-,,Proje Bazlı: Proje Bazlı için kısa açıklama. || Saatlik: Saatlik için kısa açıklama. || Ürünleştirilmiş Paket: Ürünleştirilmiş Paket için kısa açıklama.,Uygulaması kolay || Uygulaması kolay || Uygulaması kolay,Her projede uygun olmayabilir || Her projede uygun olmayabilir || Her projede uygun olmayabilir,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
12,0,Fiyatlandırma Mantığı,Maliyet+değer temelli fiyat; depozito %30–50.,[-],-,,,,,Net 30/15: Ödeme vadesi
13,0,USP & Konumlandırma,Bir cümlede değer önerisi ve niş/ICP tanımı.,[-],-,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
14,0,İş Kapsamı (SOW),"Sınırlar, teslimler, revizyon, takvim, sorumluluklar.",[-],SOW Template,,,,,SOW: Statement of Work / Kapsam || Milestone: Ara teslim hedefi || Revision: Düzeltme turu
15,0,Keşif Çağrısı (Discovery),Standart soru listesi ve tutanak şablonu.,[-],Google Docs,,,,,NDA: Gizlilik sözleşmesi
16,0,Portfolyo Stratejisi,1 sayfa “case study” formatı (sorun→çözüm→sonuç).,[-],Notion/Behance,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
17,0,Demo/Örnek Seti,Alanına göre 2–3 örnek demo hazırla.,[-],"Loom, Web Demos",,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
18,0,İletişim Şablonları,"Outreach, takip, teklif, kapanış e-posta şablonları.",[-],Notion Snippets,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
19,0,Referans & Testimonial,Son teslimde referans talebi için metin.,[-],-,,,,,Milestone: Ara teslim hedefi
,,,,,,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
20,1,Yazılım: Alt Alan,Odak alanını seç.,"[Web App (JS/TS), Backend (Python/Node), WordPress/Woo, Otomasyon/Bot]",-,step:1=Yazılım,Web App (JS/TS): Web App (JS/TS) için kısa açıklama. || Backend (Python/Node): Backend (Python/Node) için kısa açıklama. || WordPress/Woo: WordPress ile site geliştirimi. || Otomasyon/Bot: Otomasyon/Bot için kısa açıklama.,Uygulaması kolay || Uygulaması kolay || Tema/eklenti zenginliği; SEO avantajı || Uygulaması kolay,Her projede uygun olmayabilir || Her projede uygun olmayabilir || Bakım/güvenlik; Eklenti çatışmaları || Her projede uygun olmayabilir,CMS: İçerik yönetim sistemi
21,20,Yazılım: Stack & Repo,"GitHub org, repo şablonları, CI/CD.",[-],"GitHub, Vercel, Railway",step:1=Yazılım,,,,Git Flow: Branch/PR akışı
22,20,Yazılım: Demo 1,Landing + form + webhook (lead alımı).,[-],Vercel,step:1=Yazılım,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
23,20,Yazılım: Demo 2,SaaS MVP (auth + ödeme + basit CRUD).,[-],"Stripe, Supabase",step:1=Yazılım,,,,Net 30/15: Ödeme vadesi
24,20,Yazılım: Demo 3,Automation bot (cron + 3. parti API).,[-],"Make/Zapier, AWS Lambda",step:1=Yazılım,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
25,20,Yazılım: SOW Örneği,Teknik kapsam ve teslim planı şablonu.,[-],-,step:1=Yazılım,,,,SOW: Statement of Work / Kapsam || Milestone: Ara teslim hedefi
26,20,Yazılım: QA & Handover,"Test dosyası, env, dokümantasyon, dev→handover.",[-],-,step:1=Yazılım,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
27,20,Yazılım: Bakım Modeli,Aylık SLA ve kapsam dahil/harici maddeler.,[-],-,step:1=Yazılım,,,,SOW: Statement of Work / Kapsam
,,,,,,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
30,1,Tasarım: Alt Alan,Odak alanını seç.,"[UI/UX, Web Tasarım, Marka/Logo, Dashboard/Design System]",-,step:1=Tasarım,UI/UX: UI/UX için kısa açıklama. || Web Tasarım: Web Tasarım için kısa açıklama. || Marka/Logo: Marka/Logo ile faturalama/muhasebe. || Dashboard/Design System: e-İmza ile sözleşme/NDA.,Uygulaması kolay || Uygulaması kolay || e-Arşiv/e-Fatura; Raporlama || Profesyonel imza akışı,Her projede uygun olmayabilir || Her projede uygun olmayabilir || Kurulum ve entegrasyon süreci || Aylık ücret; Kota limitleri,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
31,30,Tasarım: Araçlar,"Figma + component library, ikon/ilustrasyon seti.",[-],"Figma, Icon8",step:1=Tasarım,,,,Figma: Tasarım/komponent
32,30,Tasarım: Demo 1,Landing sayfa UI (3 bölüm + CTA).,[-],Figma,step:1=Tasarım,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
33,30,Tasarım: Demo 2,Dashboard ekranı (tablo + filtre).,[-],Figma,step:1=Tasarım,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
34,30,Tasarım: Demo 3,"Logo/mini marka seti (renk, tipografi).",[-],Figma,step:1=Tasarım,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
35,30,Tasarım: Prototipleme,Figma prototip + paylaşım.,[-],Figma,step:1=Tasarım,,,,Figma: Tasarım/komponent
36,30,Tasarım: Handoff,"Inspect ölçüleri, export kuralları, style guide.",[-],Figma,step:1=Tasarım,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
37,30,Tasarım: Revizyon Politikası,2 tur revizyon; kapsam dışı değişiklik tarifesi.,[-],-,step:1=Tasarım,,,,SOW: Statement of Work / Kapsam || Revision: Düzeltme turu || Scope Creep: Kapsam dışına taşma
,,,,,,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
40,1,İçerik-SEO: Hizmet Tipi,Odak servisi seç.,"[Blog Paketi, Teknik SEO, İçerik Stratejisi, Site İçi Optimizasyon]",-,step:1=İçerik-SEO,Blog Paketi: Blog Paketi için kısa açıklama. || Teknik SEO: Teknik SEO için kısa açıklama. || İçerik Stratejisi: İçerik Stratejisi için kısa açıklama. || Site İçi Optimizasyon: Site İçi Optimizasyon için kısa açıklama.,Uygulaması kolay || Uygulaması kolay || Uygulaması kolay || Uygulaması kolay,Her projede uygun olmayabilir || Her projede uygun olmayabilir || Her projede uygun olmayabilir || Her projede uygun olmayabilir,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
41,40,Keyword Araştırma,Anahtar kelime listesi ve zorluk analizi.,[-],"Ahrefs, Semrush",step:1=İçerik-SEO,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
42,40,Brief & Outline,SEO brief + H2/H3 ve iç link hedefleri.,[-],-,step:1=İçerik-SEO,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
43,40,Yazım & Edit,"Grammarly/Tr + okunabilirlik, görsel ekleri.",[-],"Grammarly, Hemingway",step:1=İçerik-SEO,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
44,40,Yayınlama SOP,"WordPress/Shopify blog yükleme, şema.",[-],Yoast/RankMath,step:1=İçerik-SEO,,,,CMS: İçerik yönetim sistemi
45,40,Raporlama,Haftalık pozisyon ve trafik raporu.,[-],Search Console,step:1=İçerik-SEO,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
46,40,Paket Örnekleri,"4/8/12 yazı, teknik audit, content hub.",[-],-,step:1=İçerik-SEO,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
,,,,,,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
50,1,NoCode: Platform,Seç ve odaklan.,"[Webflow, Bubble, Glide, Airtable + Automations]",-,step:1=NoCode,Webflow: No-code site kurulum. || Bubble: Bubble için kısa açıklama. || Glide: Glide için kısa açıklama. || Airtable + Automations: Airtable + Automations için kısa açıklama.,Hızlı yayın; Müşteriye devri kolay || Uygulaması kolay || Uygulaması kolay || Uygulaması kolay,Aylık ücret; Özelleştirme sınırları || Her projede uygun olmayabilir || Her projede uygun olmayabilir || Her projede uygun olmayabilir,CMS: İçerik yönetim sistemi
51,50,NoCode: Demo 1,Webflow landing + form → Airtable.,[-],"Webflow, Airtable",step:1=NoCode,,,,CMS: İçerik yönetim sistemi
52,50,NoCode: Demo 2,Bubble üyelik + CRUD.,[-],Bubble,step:1=NoCode,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
53,50,NoCode: Otomasyon,Zapier/Make ile 3 adımlı otomasyon.,[-],"Zapier, Make",step:1=NoCode,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
54,50,NoCode: Handover,Customer docs + Loom walkthrough.,[-],Loom,step:1=NoCode,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
55,50,NoCode: Bakım Planı,Aylık bakım + değişiklik kredisi.,[-],-,step:1=NoCode,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
,,,,,,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
60,1,Veri/AI: Hizmet Tipi,Odak servisi seç.,"[Dashboard/BI, Veri Toplama (Scrape), ETL/Automation, LLM/Chatbot POC]",-,step:1=Veri/AI,Dashboard/BI: Dashboard/BI için kısa açıklama. || Veri Toplama (Scrape): Veri Toplama (Scrape) için kısa açıklama. || ETL/Automation: ETL/Automation için kısa açıklama. || LLM/Chatbot POC: LLM/Chatbot POC için kısa açıklama.,Uygulaması kolay || Uygulaması kolay || Uygulaması kolay || Uygulaması kolay,Her projede uygun olmayabilir || Her projede uygun olmayabilir || Her projede uygun olmayabilir || Her projede uygun olmayabilir,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
61,60,Stack & Env,"Notebook, env, gizli anahtar yönetimi.",[-],"Jupyter, GitHub Secrets",step:1=Veri/AI,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
62,60,Demo 1,Dashboard (Metabase/Looker Studio).,[-],Looker Studio,step:1=Veri/AI,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
63,60,Demo 2,Scraper + CSV + görselleştirme.,[-],Requests/BS4,step:1=Veri/AI,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
64,60,Demo 3,LLM POC (faq → chatbot).,[-],"OpenAI, LangChain",step:1=Veri/AI,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
65,60,Veri Sözleşmesi,"Gizlilik, IP, kullanım kısıtları.",[-],-,step:1=Veri/AI,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
66,60,Bakım & Destek,SLA ve veri tazeleme takvimi.,[-],-,step:1=Veri/AI,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
,,,,,,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
70,0,ICP (Ideal Müşteri),"Sektör, şirket boyutu, karar verici unvanı.",[-],-,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
71,0,Paket Tasarımı,Basic/Standard/Premium kapsam ve teslim süreleri.,"[Basic, Standard, Premium]",-,,Basic: Basic için kısa açıklama. || Standard: Standard için kısa açıklama. || Premium: Premium için kısa açıklama.,Uygulaması kolay || Uygulaması kolay || Uygulaması kolay,Her projede uygun olmayabilir || Her projede uygun olmayabilir || Her projede uygun olmayabilir,NDA: Gizlilik sözleşmesi || SOW: Statement of Work / Kapsam || Milestone: Ara teslim hedefi
72,0,Örnek Sözleşme Doldur,SOW şablonunu kendi hizmetine uyarlayıp kaydet.,[-],-,,,,,SOW: Statement of Work / Kapsam
73,0,Ön Yeterlilik Soruları,3–5 soru ile lead elemeyi yap.,[-],"Typeform, Tally",,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
74,0,Brief Formu,Brief toplama formu + otomatik e-posta.,[-],"Typeform, Tally",,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
75,0,Gizlilik & Disclosure,NDA talep edenler için hazır link.,[-],Dropbox Sign,,,,,NDA: Gizlilik sözleşmesi
,,,,,,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
80,2,Upwork: Profil,"Title, overview, hourly rate, skill etiketleri.",[-],Upwork Help,step:2=Upwork,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
81,2,Upwork: Portfolyo,3 case ekle; görseller + sonuç metrikleri.,[-],Upwork Portfolio,step:2=Upwork,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
82,2,Upwork: Project Catalog,Ürünleştirilmiş paket olarak ilan.,[-],Upwork Catalog,step:2=Upwork,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
83,2,Upwork: Job Feed Filtre,Ülke/bütçe/anahtar kelime filtrelerini kaydet.,[-],-,step:2=Upwork,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
84,2,Upwork: Teklif Şablonu,Giriş → sorun → çözüm → 1 küçük fikir → CTA.,[-],-,step:2=Upwork,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
85,2,Upwork: Connects Planı,Günlük teklif sayısı ve saatleri planla.,[-],-,step:2=Upwork,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
86,2,Upwork: Mülakat SOP,"Hızlı yanıt, örnek linkler, Calendly ile toplantı.",[-],-,step:2=Upwork,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
87,2,Upwork: Sözleşme & Milestone,Escrow + milestone tanımı.,[-],-,step:2=Upwork,,,,Milestone: Ara teslim hedefi
88,2,Upwork: Teslim & Feedback,Teslim notu + feedback talebi.,[-],-,step:2=Upwork,,,,Milestone: Ara teslim hedefi
,,,,,,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
90,2,Fiverr: Profil,"Gig başlığı, arama etiketleri, açıklama.",[-],Fiverr Help,step:2=Fiverr,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
91,2,Fiverr: Paketler,Basic/Standard/Premium net kapsam.,[-],-,step:2=Fiverr,,,,NDA: Gizlilik sözleşmesi || SOW: Statement of Work / Kapsam
92,2,Fiverr: Medya,"Gig görselleri, kısa video, PDF.",[-],-,step:2=Fiverr,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
93,2,Fiverr: Anahtar Kelime,Gig SEO; rakip inceleme.,[-],-,step:2=Fiverr,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
94,2,Fiverr: Yanıt Süresi,Otomatik hoş geldin + hızlı cevap şablonları.,[-],-,step:2=Fiverr,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
95,2,Fiverr: Revizyon & Ekstralar,"Revizyon sayısı, hızlı teslim, kaynak dosyası ekstra.",[-],-,step:2=Fiverr,,,,Milestone: Ara teslim hedefi || Revision: Düzeltme turu
96,2,Fiverr: Teslim & Değerlendirme,Teslim checklist + 5 yıldız teşviki.,[-],-,step:2=Fiverr,,,,Milestone: Ara teslim hedefi
,,,,,,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
100,2,LinkedIn: Profil Optimize,Başlık → değer önerisi; öne çıkan linkler.,[-],LinkedIn Help,step:2=LinkedIn,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
101,2,LinkedIn: Hizmet Sayfası,Hizmet ekle ve rezervasyon linki.,[-],-,step:2=LinkedIn,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
102,2,LinkedIn: İçerik Planı,"Haftada 3 post: case clip, ipucu, mini rehber.",[-],-,step:2=LinkedIn,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
103,2,LinkedIn: Arama & Kayıt,Kriterlere uygun lead kaydetme.,[-],Sales Navigator (ops),step:2=LinkedIn,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
104,2,LinkedIn: DM Script,1. selamlama → 2. değer → 3. soru → 4. çağrı.,[-],-,step:2=LinkedIn,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
105,2,LinkedIn: Etkileşim Rutini,Günde 15 dk: yorum/DM/bağlantı.,[-],-,step:2=LinkedIn,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
106,2,LinkedIn: Topluluklara Katıl,Niş gruplar ve etkinlikler.,[-],-,step:2=LinkedIn,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
,,,,,,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
110,2,Soğuk E-posta: Domain,"Warmup domain, DKIM/SPF/DMARC, imza.",[-],"Postmark, Google Admin",step:2=Soğuk E-posta,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
111,2,Soğuk E-posta: Liste,ICP’ye göre liste çıkar.,"[Hunter, Apollo, Clay, Manual]","Hunter, Apollo",step:2=Soğuk E-posta,Hunter: Hunter için kısa açıklama. || Apollo: Apollo için kısa açıklama. || Clay: Clay için kısa açıklama. || Manual: Manual için kısa açıklama.,Uygulaması kolay || Uygulaması kolay || Uygulaması kolay || Uygulaması kolay,Her projede uygun olmayabilir || Her projede uygun olmayabilir || Her projede uygun olmayabilir || Her projede uygun olmayabilir,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
112,2,Soğuk E-posta: Araç,Sequence/otomasyon aracı seç.,"[Instantly, Lemlist, Mailshake]","Instantly, Lemlist",step:2=Soğuk E-posta,Instantly: Instantly için kısa açıklama. || Lemlist: Lemlist için kısa açıklama. || Mailshake: Mailshake için kısa açıklama.,Uygulaması kolay || Uygulaması kolay || Uygulaması kolay,Her projede uygun olmayabilir || Her projede uygun olmayabilir || Her projede uygun olmayabilir,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
113,2,Soğuk E-posta: Şablonlar,İlk e-posta + 3 takip; 50–125 kelime; tek CTA.,[-],-,step:2=Soğuk E-posta,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
114,2,Soğuk E-posta: Kişiselleştirme,1 cümle kişisel açılış; pattern → çözüm.,[-],-,step:2=Soğuk E-posta,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
115,2,Soğuk E-posta: Günlük Limit,Gmail/SMTP limitlerine uygun gönderim.,[-],-,step:2=Soğuk E-posta,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
116,2,Soğuk E-posta: Takvim Entegrasyon,Yanıtlayanlara otomatik takvim linki.,[-],Calendly,step:2=Soğuk E-posta,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
117,2,Soğuk E-posta: Spam Kontrol,Bounce/spam/yanıt oranı izleme.,[-],-,step:2=Soğuk E-posta,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
,,,,,,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
120,0,Pitch Dosyası (1 Sayfa),"“Biz kimiz, değer önerisi, 3 örnek, süreç, CTA”.",[-],Canva/Notion,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
121,0,Loom Tanıtım Videosu,"60–90 sn, kim → sorun → çözüm → örnek → CTA.",[-],Loom,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
122,0,Şablon Kütüphanesi,Tüm e-posta/teklif/SOW/rapor şablonlarını bir klasörde tut.,[-],Google Drive,,,,,SOW: Statement of Work / Kapsam
,,,,,,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
130,0,Discovery Çağrısı – Akış,"Gündem: hedefler, kısıtlar, bütçe, takvim, karar verici.",[-],-,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
131,0,Discovery – Notlar,Not şablonunu doldur ve özet maili gönder.,[-],Google Docs,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
132,0,Ön Analiz (Mini Audit),İlk 30–60 dk’lık ücretsiz mini analiz (opsiyonel).,[-],-,,,,,Net 30/15: Ödeme vadesi
133,0,Çözüm Taslağı,3 maddede çözüm + 3 teslim + tahmini süre.,[-],-,,,,,Milestone: Ara teslim hedefi
134,0,Teklif Belgesi,"Özet, kapsam, teslim planı, fiyat, ödeme, geçerlilik.",[-],Google Docs/PandaDoc,,,,,SOW: Statement of Work / Kapsam || Milestone: Ara teslim hedefi || Net 30/15: Ödeme vadesi
135,0,Ödeme Planı,"%30–50 peşin, milestone bazlı bakiye.",[-],Stripe/Wise,,,,,Milestone: Ara teslim hedefi || Net 30/15: Ödeme vadesi
136,0,Sözleşme & NDA,"IP, gizlilik, kapsam; e-imza.",[-],Dropbox Sign,,,,,NDA: Gizlilik sözleşmesi || SOW: Statement of Work / Kapsam
137,0,Fatura,Ülkeye göre e-fatura/normal fatura.,[-],"Paraşüt, Stripe",,,,,e-Arşiv/e-Fatura: Gelir İdaresi entegrasyonu
138,0,Proje Kickoff,"Yetkiler, erişimler, riskler, iletişim kanalları.",[-],-,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
139,0,İletişim Ritmi,Haftalık durum çağrısı veya asenkron Loom raporu.,[-],"Loom, Google Meet",,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
,,,,,,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
140,1,Yazılım: Proje Planı,"Milestone’lar, issue board, sürümleme.",[-],GitHub Projects,step:1=Yazılım,,,,Milestone: Ara teslim hedefi
141,1,Yazılım: Geliştirme Akışı,"Git flow, code review, staging.",[-],-,step:1=Yazılım,,,,Git Flow: Branch/PR akışı
142,1,Yazılım: Test & QA,Unit/e2e; kabul kriterleri.,[-],-,step:1=Yazılım,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
143,1,Yazılım: Dağıtım,Vercel/Railway/AWS dağıtımı ve rollback.,[-],Vercel/AWS,step:1=Yazılım,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
,,,,,,,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
150,1,Tasarım: Araştırma,"Persona, benchmark, rakip UI analizi.",[-],-,step:1=Tasarım,,,,Proje Döngüsü: Brief → Teklif → Kapsam → Teslim → Fatura
