StepID,ParentID,Başlık,Açıklama,Seçenekler,Kaynak/Link,GörünürEğer,Seçenek Info,Seçenek Pros,Seçenek Cons,Terimler
71,2,AliExpress Araştırma,"Değerlendirme: yıldız≥4.6, sipariş≥300, lojistik süresi.",[-],AliExpress,step:2=AliExpress,,,,
72,2,TR Tedarikçi Bulma,"Toptancı listesi, MOQ, iade politikası.",[-],İhracat/İthalat Rehberi,step:2=Türkiye Tedarikçi,,,,
73,2,POD Ürün Seçimi,"T-shirt, kupa, sweatshirt vb. başlat.","[T-Shirt, Kupa, Sweatshirt, Poster]","Printify, Printful",step:2=Print on Demand,,,,
74,2,Private Label Araştırma,"Alibaba/1688, MOQ, marka tescil kontrolü.",[-],"Alibaba, Trademarkia",step:2=Private Label,,,,
75,0,Puanlama Matrisi,Kriter puanlama sheet’ini doldur.,[-],Google Sheets,,,,,
76,0,Ürün Karar,Top 3 ürünü belirle.,"[Aday 1, Aday 2, Aday 3]",-,,,,,
,,,,,,,,,,
80,0,Mağaza Görsel Kimlik,"Logotype, renk paleti, icon set.",[-],"Canva, Coolors",,,,,
81,0,Hukuki Metinler,Gizlilik/kvkk/iade/teslimat – şablonları doldur.,[-],-,,,,,
82,0,İade & Müşteri Desteği,"SLA, yanıt şablonları, iade adresi.",[-],"Zendesk, Gorgias",,,,,
83,7,Piksel Kur & Test,"Seçtiğin pikseli kur, test olayları.",[-],Tag Assistant,step:7=Tiktok Pixel|Meta Pixel|Google Tag (GA4),,,,
,,,,,,,,,,
90,1,Shopify – Ürün Ekleme,"Gerekli alanlar: başlık, açıklama, varyant, görsel.",[-],Shopify Docs,step:1=Shopify,,,,
91,1,Shopify – Koleksiyon/SEO,Koleksiyonlar + SEO başlık/açıklama.,[-],-,step:1=Shopify,,,,
92,1,Shopify – DSers Mapping,Ürünü tedarikçi ile eşle; alternatif satıcı ekle.,[-],DSers,step:1=Shopify; step:2=AliExpress,,,,
93,1,Shopify – TR Tedarikçi Akışı,CSV/ERP üzerinden stok/sku eşle.,[-],Entegra/Dopigo,step:1=Shopify; step:2=Türkiye Tedarikçi,,,,
94,1,Shopify – POD Akışı,Mockup + varyant + fiyat + shipping profili.,[-],Printify/Printful,step:1=Shopify; step:2=Print on Demand,,,,
95,1,Shopify – Ürün Sayfası Şablonu,"USP, faydalar, sosyal kanıt, FAQ blokları.",[-],PageFly,step:1=Shopify,,,,
96,1,Shopify – Yorumlar,Judge.me kur; 5 örnek review ekle (kural uygunluğu).,[-],Judge.me,step:1=Shopify,,,,
97,1,Shopify – Checkout Ayarları,"Abandoned cart email, teslimat notu.",[-],-,step:1=Shopify,,,,
,,,,,,,,,,
100,1,Etsy – Listing Oluştur,"Başlık, etiket, kategori, görsel/mokap.",[-],Etsy Listing,step:1=Etsy,,,,
101,1,Etsy – SEO Etiketleri,Erank/Marmalead ile 13 etiket.,[-],"Erank, Marmalead",step:1=Etsy,,,,
102,1,Etsy – POD Route,"Ürünü Printify/Printful üzerinden bağla, üretici seç.",[-],Printify/Printful,step:1=Etsy; step:2=Print on Demand,,,,
103,1,Etsy – Kargo Profili,Standart/expedited profilleri oluştur.,[-],-,step:1=Etsy,,,,
,,,,,,,,,,
110,1,Amazon – Listing,"Title, bullets, A+ Content, görsel.",[-],Helium10,step:1=Amazon,,,,
111,1,Amazon – FBA Paketleme,"FNSKU etiket, koli planı, inbound.",[-],-,step:1=Amazon; step:51=FBA,,,,
112,1,Amazon – FBM Kargo,Şablonlar ve SLA.,[-],-,step:1=Amazon; step:51=FBM,,,,
,,,,,,,,,,
120,1,Pazaryeri (TR) – Ürün Açma,"Trendyol/HB/n11’de ürün aç, zorunlu alanlar.",[-],Satıcı Merkezi,step:1=Pazaryeri (TR),,,,
121,1,Pazaryeri – Kargo/İade,Şablonları kuralına göre doldur.,[-],-,step:1=Pazaryeri (TR),,,,
122,1,Pazaryeri – Entegrasyon Ürün Aktarımı,Entegrasyon yazılımı ile toplu ürün.,[-],"Entegra, Dopigo",step:1=Pazaryeri (TR),,,,
,,,,,,,,,,
130,0,Trafik Kanalı Seç,İlk trafik kaynağını seç.,"[TikTok, Instagram, Influencer, Ads, SEO]",-,,,,,
131,130,TikTok – Hesap & Bio,"İşletme hesabı, bio, link, anahtar kelimeler.",[-],TikTok Business,step:130=TikTok,,,,
132,130,TikTok – 30 Gün Planı,Gün/gün konu takvimi ve CTA.,[-],Sheet Şablon,step:130=TikTok,,,,
133,130,TikTok – Çekim & Edit,"CapCut ile altyazı, pattern interrupt.","[CapCut Mobil, CapCut Masaüstü]",CapCut,step:130=TikTok,,,,
134,130,TikTok – Yayın SOP,"Saatler, açıklama formatı, hashtag, sabit yorum.",[-],-,step:130=TikTok,,,,
135,130,Instagram – Kurulum,"Profesyonel hesap, bio, link, highlight.",[-],Meta Business,step:130=Instagram,,,,
136,130,Instagram – İçerik Sütunları,Reels/Carousel/Hikaye dağılımı.,[-],-,step:130=Instagram,,,,
137,130,Influencer – Arama,Fiyat/uyum/erişim; liste çıkar.,[-],"Modash, Incense",step:130=Influencer,,,,
138,130,Influencer – Brief & Sözleşme,UGC video brief’i ve kullanım izinleri.,[-],-,step:130=Influencer,,,,
139,130,Ads – Platform,İlk test için platform seç.,"[TikTok Ads, Meta Ads, Google Ads]","TikTok Ads, Meta Ads, Google Ads",step:130=Ads,,,,
140,139,Piksel & Olaylar,Link Click/ATC/Lead olaylarını kur.,[-],Tag Manager,step:130=Ads,,,,
141,139,Test Kampanya Kur,"3 kreatif × 2 başlık, geniş ilgi; 48 saat sonra değerlendir.",[-],-,step:130=Ads,,,,
142,130,SEO – Blog/Yazı,Kategori sayfasına blog/rehber ekle (Shopify/WordPress).,[-],"RankMath, Yoast",step:130=SEO,,,,
,,,,,,,,,,
150,0,Müşteri Hizmetleri,Sık sorular şablonları; iade ve gecikme yanıtları.,[-],"Zendesk, Gorgias",,,,,
151,0,Sipariş Akışı – Shopify+AliExpress,DSers ile otomatik sipariş; tracking eşle.,[-],DSers,step:1=Shopify; step:2=AliExpress,,,,
152,0,Sipariş Akışı – Shopify+TR Tedarikçi,Entegratör üzerinden sipariş ilet; XML/CSV.,[-],Entegra/Dopigo,step:1=Shopify; step:2=Türkiye Tedarikçi,,,,
153,0,Sipariş Akışı – Shopify+POD,Printify/Printful otomatik üretim; müşteri maili.,[-],Printify/Printful,step:1=Shopify; step:2=Print on Demand,,,,
154,0,Sipariş Akışı – Etsy+POD,OTO üretim ve kargo numarası aktarımı.,[-],Printify/Printful,step:1=Etsy; step:2=Print on Demand,,,,
155,0,Sipariş Akışı – Amazon FBA,FBA otomatik gönderim; stok yenileme takvimi.,[-],Amazon,step:1=Amazon; step:51=FBA,,,,
156,0,Sipariş Akışı – Amazon FBM,FBM sipariş + kargo şablonu.,[-],-,step:1=Amazon; step:51=FBM,,,,
157,0,Sipariş Akışı – Pazaryeri TR,Entegratör/kargo entegrasyonu ile faturalandırma.,[-],"Entegra, E-Fatura",step:1=Pazaryeri (TR),,,,
,,,,,,,,,,
160,0,İyileştirme Döngüsü,Günlük: içerik → sipariş → destek → analiz.,[-],Analytics,,,,,
161,0,Analitik – Tabloyu Doldur,UTM ve satış kaynaklarını gir; kazanan ürün/kanalı işaretle.,[-],Google Sheets,,,,,
162,0,Ölçekleme Öncesi Kontrol,"Marj, iade oranı, kargo süresi, stok riski.",[-],-,,,,,
